Korpusglosa,Lexikonglosa,ID
DREGLA[VB],DREGLA(5b),11603
DRICKA[VB],DRICKA(S),01377
DRÄKT[NN],DRÄKT(55),15835
DRÖJA(V)[VB],DRÖJA(VV),15816
DRÖJA(J)[VB],HÄNDER-INGET(D),00117
DRÖM[NN],DRÖM(A),01261
DRÖMMA[VB],,
DUBBEL[JJ],DUBBEL(V),10799
DUBBEL[JJ],DUBBEL(V+V),10800
DUGA[VB],DUGA(J),00087
DUKTIG[JJ],DUKTIG(O),01755
DUM(Jt)[JJ],DUM(Jt>A),03251
DUM(Lt)[JJ],DUM(7v),07940
DUSCHA[VB],,
DYKA[VB],DYKA(JJ),00727
DYKA[VB],DYKA(J+V),04201
DYKA-UPP[VB],DYKA-UPP(J+J+m),15196
DYKA-UPP[VB],DYKA-UPP(J+J),08305
DYR[JJ],DYR(J+O>5),01306
DYR[JJ],DYR(J+Q),03856
DYR[JJ],DYR(J+O),04827
DYR[JJ],DYR(J+A),05592
DÄCK[NN],,
DÄRFÖR[AB],DÄRFÖR(J+O),01814
DÅ@b[AB],DÅ@b,04724
DÅLIG[JJ],DÅLIG(DD),00659
DÅLIG(B)[AB],BOTTEN(B),02378
DÖD[JJ],DÖD(J),00202
DÖLJA[VB],DÖLJA(L^55[u]),00818
DÖLJA[VB],DÖLJA(L^55[th]),02657
DÖLJA[VB],DÖLJA(55[u]),04802
DÖLJA[VB],DÖLJA(55[th]),04875
DÖLJA[VB],DÖLJA(5>55+[u]),05365
DÖLJA[VB],DÖLJA(5^55[th]),07686
DÖPA(ea)[VB],,
DÖPA(ml)[VB],,
DÖRR[NN],DÖRR(J+J),11721
DÖV[NN],DÖV(L),02686
DÖV(Ao)[JJ],BLI-DÖV(JJt),00754
DÖV(Ao)[JJ],BLI-DÖV(Jt>A),05329
DÖV(J)[JJ],DÖV(J),00042
DÖVFÖRENING[NN],,
EFTER[PP],EFTER(J+framr+J),00289
EFTER[PP],EFTER(J+hör+J),00322
EFTERKÄLKEN[NN/VBS],,
EFTERMIDDAG[NN],,
EGEN[JJ],EGEN(G>J),02370
EGEN[JJ],EGEN(G),07547
EGENTLIGEN[AB],,
EGOIST[NN/VBS?],EGOIST(B),02366
EGOIST[NN/VBS?],EGOIST(JJ),02601
EGOIST[NN/VBS?],EGOIST(Jvt),07615
EGOTRIPPAD[JJ],,
EKONOMI[NN],EKONOMI(QQ+cirkel+framin),03875
EKONOMI[NN],EKONOMI(QQ+cirkel+vähö),08137
EKORRE[NNGENERA],,
ELAK[JJ],ELAK(5b),01523
ELAK[JJ],ELAK(Bs),01945
ELDA[VB],ELDA(JJ),00621
ELDA[VB],ELDA(JJ[m]),05282
ELEKTRICITET[NN],ELEKTRICITET(^VVb),04385
ELEV[NN],ELEV(J+B),02412
ELLER[KN],ELLER(BB),04471
ELLER[KN],ELLER(V),04151
ELLER[KN],ELLER(LL),14007
ELVA[RG],ELVA(G+L),11953
ELVA[RG],ELVA(L),05018
ELVA[RG],ELVA(J+L),08948
EMAIL[NN],E-POST(E),08788
EMELLAN[PP/VBS],,
EN[RG],EN(L),02852
EN.ENDA[RG],,
EN-HUNDRA[RG],,
EN-TILL[RG],EN-TILL(L),02856
ENERGI[NN],ENERGI(GG),02152
ENKEL[JJ],ENKEL(L+L),02927
ENKLAST-SÅ[AB],AVKLARAT(J+J),00485
ENLIG[PP],ENLIG(LL),04738
ENORM[JJ],ENORM(G),01907
ENSAM(B)[JJ/VBS?],ENSAM(B),02360
ENSAM(L)[JJ],ENSAM(L),02862
ENTITET()+BEFINNA@p[VBAV],(POLY-ENTITET),01792
ENTITET()+FÖRFLYTTA@p[VBAV],(POLY-ENTITET),01792
ENTITET()+RÖRELSE@p[VBAV],(POLY-ENTITET),01792
ENTITET()+STILLASTÅENDE@p[VBAV],(POLY-ENTITET),01792
ENTUSIASTISK[VBS],ENTUSIASTISK(S),01401
ENVAR[RG],,
ENVIS[JJ],ENVIS(J+L),03049
ERFAREN[VBS],ERFAREN(J),00020
ERSÄTTNING[NN],ERSÄTTNING(J+A),01298
ERSÄTTNING[NN],ERSÄTTNING(J+A:),01310
ETCETERA(da)[AB],,
ETCETERA(L)[AB],ETCETERA(5+L),01967
ETCETERA(Y)[AB],ETCETERA(J+5),01961
ETCETERA(Ybt)[AB],ETCETERA(55),13042
EVIG[JJ],EVIG(L+L),02812
EX@b[NN],EX@b,09418
EXAMEN[NN],EXAMEN(8),04326
EXAMEN[NN],EXAMEN(V),08303
EXAKT[JJ],EXAKT(HH:),09256
EXPANDERA[VB],EXPANDERA(55),04360
EXPERT[NN],EXPERT(uarm+Jvt),00159
EXPERT[NN],EXPERT(Jvt+m),05124
EXPRESS[JJ],EXPRESS(J+5>G),02121
EXPRESS[JJ],EXPRESS(J+G),07470
EXTERN[JJ],EXTERN(S+S),01427
EXTRA[JJ?],EXTRA(V+V),04181
FABRIK[NN],FABRIK(55),00975
FAKTA[NN],FAKTA(J+N),10042
FAKTISK[AB],,
FALLA[VBAV],FALLA(J+V),03760
FALLA-IHOP[VB],,
FALSK[JJ],FALSK(Lb),03487
FAMILJ[NN],FAMILJ(55),00773
FAMILJ(Lb)[NN],,
FAN[INTERJ],FAN(V+huvud),04070
FAN[INTERJ],FAN(J+V),04204
FAN[INTERJ],FAN(V),05671
FANTASI[NN],FANTASI(4),00798
FANTASTISK[JJ],,
FARLIG[JJ],FARLIG(T),03445
FARLIG[JJ],FARLIG(7),08001
FARLIG-INTE[JJ],INGEN-FARA(7),16332
FARFAR(G)[NN],FARFAR(G),01932
FARFAR(L)[NN],FARFAR(L),01939
FARMOR[NN],FARMOR(G),01933
FARMOR[NN],FARMOR(G+fram),07406
FASCINERA[VB],FASCINERAD(LL),15806
FAST[AB],FAST(G+G),02038
FAST[AB],FAST(GG),07572
FASTER[NN],FASTER(5b),01399
FASTER[NN],FASTER(G+G),02091
